E(MeV)	Mg-nat
3.16118E-02	1.75604
3.16137E-02	1.7561
3.16167E-02	1.7562
3.16215E-02	1.75639
3.16370E-02	1.75703
3.16448E-02	1.75619
3.16506E-02	1.75558
3.16535E-02	1.75529
3.16554E-02	1.75511
3.16573E-02	1.75496
3.16588E-02	1.75486
3.16603E-02	1.75479
3.16617E-02	1.75474
3.16632E-02	1.75473
3.16646E-02	1.75476
3.16656E-02	1.7548
3.16665E-02	1.75487
3.16680E-02	1.755
3.16693E-02	1.75516
3.16706E-02	1.75536
3.16719E-02	1.7556
3.16732E-02	1.75587
3.16750E-02	1.75629
3.16765E-02	1.75668
3.16768E-02	1.75664
3.16785E-02	1.75642
3.16811E-02	1.75614
3.16838E-02	1.75595
3.16855E-02	1.75588
3.16872E-02	1.75587
3.16890E-02	1.75593
3.16908E-02	1.75609
3.16925E-02	1.75636
3.16935E-02	1.75658
3.16942E-02	1.75631
3.16960E-02	1.75581
3.16978E-02	1.75545
3.16996E-02	1.75522
3.17019E-02	1.75511
3.17049E-02	1.75521
3.17150E-02	1.75612
3.17190E-02	1.75632
3.17242E-02	1.75522
3.17281E-02	1.75471
3.17307E-02	1.75471
3.17334E-02	1.75502
3.17400E-02	1.75633
3.17420E-02	1.75639
3.17440E-02	1.75605
3.17459E-02	1.75697
3.17478E-02	1.75737
3.17496E-02	1.75723
3.17515E-02	1.75655
3.17525E-02	1.75592
3.17534E-02	1.75643
3.17552E-02	1.75704
3.17571E-02	1.75716
3.17590E-02	1.75681
3.17609E-02	1.75599
3.17610E-02	1.7559
3.17627E-02	1.75666
3.17646E-02	1.75704
3.17665E-02	1.75703
3.17693E-02	1.75648
3.17747E-02	1.75491
3.17774E-02	1.75441
3.17802E-02	1.75424
3.17850E-02	1.75442
3.17905E-02	1.75477
3.17926E-02	1.75504
3.17939E-02	1.75532
3.17950E-02	1.75564
3.17953E-02	1.75545
3.17965E-02	1.75486
3.17975E-02	1.75445
3.17985E-02	1.75414
3.17995E-02	1.75392
3.18005E-02	1.75381
3.18012E-02	1.75378
3.18020E-02	1.75381
3.18028E-02	1.75389
