E(MeV)	pendfb7/Ce142:1	
1.63446E-03	6.49621	
1.63482E-03	6.6987	
1.63506E-03	6.86827	
1.63522E-03	6.99989	
1.63531E-03	7.07094	
1.63556E-03	7.3035	
1.63581E-03	7.56737	
1.63599E-03	7.77531	
1.63606E-03	7.86461	
1.63631E-03	8.19748	
1.63656E-03	8.56771	
1.63674E-03	8.85462	
1.63681E-03	8.97779	
1.63705E-03	9.40675	
1.63728E-03	9.8502	
1.63749E-03	10.305	
1.63750E-03	10.3318	
1.63773E-03	10.8542	
1.63796E-03	11.4192	
1.63818E-03	12.0291	
1.63824E-03	12.2117	
1.63841E-03	12.687	
1.63863E-03	13.3954	
1.63895E-03	14.4679	
1.63900E-03	14.6568	
1.63925E-03	15.6026	
1.63955E-03	16.8476	
1.63975E-03	17.7568	
1.63985E-03	18.2118	
1.64015E-03	19.7052	
1.64025E-03	20.2492	
1.64045E-03	21.3379	
1.64075E-03	23.121	
1.64105E-03	25.0675	
1.64125E-03	26.4824	
1.64135E-03	27.1903	
1.64165E-03	29.5044	
1.64175E-03	30.3447	
1.64195E-03	32.0261	
1.64226E-03	34.7725	
1.64256E-03	37.7641	
1.64276E-03	39.935	
1.64286E-03	41.0211	
1.64316E-03	44.5673	
1.64326E-03	45.854	
1.64346E-03	48.4286	
1.64376E-03	52.6324	
1.64406E-03	57.2113	
1.64426E-03	60.5353	
1.64436E-03	62.1981	
1.64466E-03	67.6313	
1.64476E-03	69.6044	
1.64496E-03	73.5526	
1.64526E-03	80.0071	
1.64557E-03	87.0476	
1.64577E-03	92.1673	
1.64587E-03	94.7283	
1.64617E-03	103.112	
1.64627E-03	106.164	
1.64647E-03	112.268	
1.64664E-03	118.103	
1.64677E-03	122.272	
1.64702E-03	131.384	
1.64707E-03	133.207	
1.64737E-03	145.168	
1.64740E-03	146.258	
1.64767E-03	158.256	
1.64777E-03	163.031	
1.64797E-03	172.585	
1.64815E-03	181.738	
1.64827E-03	188.279	
1.64852E-03	202.552	
1.64855E-03	203.981	
1.64881E-03	220.253	
1.64890E-03	226.13	
1.64908E-03	237.888	
1.64928E-03	252.451	
1.64934E-03	257.004	
1.64960E-03	277.726	
1.64965E-03	282.004	
1.64987E-03	300.189	
1.65003E-03	315.255	
1.65013E-03	324.531	
1.65039E-03	350.903	
1.65041E-03	352.262	
1.65066E-03	379.461	
1.65078E-03	394.173	
1.65092E-03	410.363	
1.65116E-03	440.583	
1.65118E-03	443.765	
1.65145E-03	479.83	
1.65153E-03	492.787	
1.65171E-03	518.707	
1.65191E-03	550.57	
1.65197E-03	560.53	
1.65224E-03	605.416	
1.65229E-03	614.564	
1.65250E-03	653.453	
1.65279E-03	709.722	
1.65309E-03	772.503	
1.65329E-03	817.026	
1.65339E-03	839.289	
1.65379E-03	934.059	
1.65433E-03	1069.66	
1.65461E-03	1141.4	
1.65509E-03	1268.56	
1.65529E-03	1320.71	
1.65547E-03	1363.7	
1.65580E-03	1443.5	
1.65585E-03	1454.55	
1.65617E-03	1526.37	
1.65620E-03	1531.73	
1.65646E-03	1581.95	
1.65651E-03	1590.26	
1.65678E-03	1635.13	
1.65682E-03	1640.2	
1.65699E-03	1663.49	
1.65704E-03	1670.24	
1.65722E-03	1688.21	
1.65739E-03	1704.67	
1.65754E-03	1714.66	
1.65763E-03	1720.13	
1.65783E-03	1727.07	
1.65788E-03	1728.8	
1.65800E-03	1730.32	
1.65820E-03	1727.43	
1.65834E-03	1725.44	
1.65858E-03	1713.4	
1.65868E-03	1708.33	
1.65898E-03	1682.89	
1.65907E-03	1675.47	
1.65939E-03	1638.82	
1.65953E-03	1619.98	
1.65988E-03	1572.01	
1.66046E-03	1481.33	
1.66081E-03	1422.78	
1.66131E-03	1339.14	
