E(MeV)	"O-16(N,TOT)"
2.69940E+00	1.09289
2.70000E+00	1.0929
2.70155E+00	1.09285
2.70305E+00	1.0928
2.70450E+00	1.09275
2.70591E+00	1.09271
2.70728E+00	1.09267
2.70925E+00	1.0926
2.71114E+00	1.09254
2.71293E+00	1.09249
2.71464E+00	1.09243
2.71627E+00	1.09238
2.71784E+00	1.09233
2.71932E+00	1.09228
2.72074E+00	1.09224
2.72256E+00	1.09218
2.72294E+00	1.09217
2.72427E+00	1.09212
2.72587E+00	1.09207
2.72737E+00	1.09202
2.72878E+00	1.09198
2.73074E+00	1.09192
2.73250E+00	1.09186
2.73412E+00	1.09181
2.73511E+00	1.09178
2.73697E+00	1.09172
2.73859E+00	1.09167
2.74002E+00	1.09162
2.74181E+00	1.09156
2.74331E+00	1.09152
2.74498E+00	1.09146
2.74623E+00	1.09142
2.74812E+00	1.09136
2.75000E+00	1.0913
2.75230E+00	1.09133
2.75451E+00	1.09137
2.75660E+00	1.09139
2.75861E+00	1.09142
2.76051E+00	1.09145
2.76234E+00	1.09148
2.76408E+00	1.0915
2.76574E+00	1.09152
2.76787E+00	1.09155
2.76987E+00	1.09158
2.77174E+00	1.09161
2.77350E+00	1.09163
2.77515E+00	1.09166
2.77744E+00	1.09169
2.77951E+00	1.09172
2.78140E+00	1.09174
2.78365E+00	1.09178
2.78569E+00	1.0918
2.78747E+00	1.09183
2.78976E+00	1.09186
2.79104E+00	1.09188
2.79328E+00	1.09191
2.79559E+00	1.09194
2.79716E+00	1.09197
2.79905E+00	1.09199
2.80000E+00	1.09201
2.80230E+00	1.0924
2.80451E+00	1.09278
2.80660E+00	1.09314
2.80861E+00	1.09349
2.81118E+00	1.09393
2.81359E+00	1.09434
2.81585E+00	1.09473
2.81797E+00	1.0951
2.81996E+00	1.09544
2.82183E+00	1.09576
2.82441E+00	1.09621
2.82677E+00	1.09661
2.82889E+00	1.09698
2.83085E+00	1.09731
2.83323E+00	1.09772
2.83532E+00	1.09808
2.83801E+00	1.09855
2.84016E+00	1.09892
2.84196E+00	1.09923
2.84397E+00	1.09957
2.84612E+00	1.09994
2.84871E+00	1.10039
2.85000E+00	1.10061
2.85230E+00	1.10183
2.85451E+00	1.103
2.85733E+00	1.10449
2.85998E+00	1.10589
2.86246E+00	1.10721
2.86479E+00	1.10844
2.86500E+00	1.10855
2.86698E+00	1.11001
2.87000E+00	1.11224
2.87003E+00	1.1123
2.87277E+00	1.11741
2.87528E+00	1.1221
2.87682E+00	1.12497
2.87971E+00	1.13036
2.88000E+00	1.13091
2.88200E+00	1.14024
2.88224E+00	1.14222
2.88400E+00	1.15702
2.88445E+00	1.16591
2.88600E+00	1.19643
2.88687E+00	1.2386
2.88700E+00	1.24807
2.88719E+00	1.27207
2.88724E+00	1.27974
2.88791E+00	1.3798
2.88800E+00	1.39999
2.88810E+00	1.43047
2.88820E+00	1.47102
2.88830E+00	1.52228
2.88838E+00	1.56907
2.88845E+00	1.62615
2.88850E+00	1.67199
2.88855E+00	1.72561
2.88860E+00	1.7885
2.88865E+00	1.86238
2.88870E+00	1.94915
2.88875E+00	2.05054
2.88880E+00	2.16736
2.88885E+00	2.29826
2.88895E+00	2.57524
2.88899E+00	2.66623
2.88901E+00	2.71605
2.88904E+00	2.75375
2.88906E+00	2.77651
2.88908E+00	2.7823
2.88910E+00	2.7775
2.88913E+00	2.75376
2.88915E+00	2.70988
2.88917E+00	2.64652
2.88920E+00	2.56536
2.88923E+00	2.46904
2.88926E+00	2.30355
2.88935E+00	1.88557
2.88937E+00	1.77314
2.88940E+00	1.66824
2.88943E+00	1.57219
2.88945E+00	1.48565
2.88948E+00	1.40877
2.88950E+00	1.3413
2.88952E+00	1.28267
2.88955E+00	1.23215
2.88957E+00	1.19051
2.88958E+00	1.1889
2.88960E+00	1.15208
2.88963E+00	1.12087
2.88966E+00	1.08293
2.88970E+00	1.0537
2.88974E+00	1.03133
2.88978E+00	1.01434
2.88983E+00	0.998014
2.88987E+00	0.986857
2.88995E+00	0.976469
2.89003E+00	0.971078
2.89011E+00	0.969909
2.89050E+00	0.978151
2.89100E+00	0.998122
2.89200E+00	1.02782
2.89218E+00	1.03042
2.89400E+00	1.05721
2.89413E+00	1.05815
2.89600E+00	1.07149
2.89706E+00	1.07557
2.89900E+00	1.083
2.90000E+00	1.08583
2.90310E+00	1.08901
2.90601E+00	1.09199
2.90874E+00	1.09479
2.91130E+00	1.09742
2.91371E+00	1.09989
2.91702E+00	1.10328
2.92006E+00	1.10641
2.92280E+00	1.10921
2.92531E+00	1.11179
2.92838E+00	1.11494
2.93108E+00	1.11771
2.93344E+00	1.12012
2.93647E+00	1.12323
2.93963E+00	1.12648
2.94222E+00	1.12914
2.94500E+00	1.13198
2.94750E+00	1.13455
2.95000E+00	1.13712
2.95310E+00	1.14143
2.95601E+00	1.14548
2.95874E+00	1.14928
2.96250E+00	1.15452
2.96596E+00	1.15934
2.96907E+00	1.16367
2.97193E+00	1.16764
2.97542E+00	1.17251
2.97848E+00	1.17677
2.98234E+00	1.18214
2.98557E+00	1.18663
2.98917E+00	1.19165
2.99289E+00	1.19683
2.99543E+00	1.20036
2.99847E+00	1.20461
3.00000E+00	1.20673
3.00155E+00	1.21398
3.00456E+00	1.22803
3.00500E+00	1.23011
3.00550E+00	1.2377
3.00600E+00	1.25197
3.00620E+00	1.26222
3.00640E+00	1.27904
3.00650E+00	1.29232
3.00660E+00	1.31262
3.00668E+00	1.33681
3.00673E+00	1.36135
3.00676E+00	1.38765
3.00679E+00	1.41092
3.00681E+00	1.44048
3.00684E+00	1.4781
3.00686E+00	1.52557
3.00689E+00	1.58432
3.00691E+00	1.65486
3.00694E+00	1.736
3.00700E+00	1.95544
3.00702E+00	2.0124
3.00704E+00	2.05789
3.00706E+00	2.0879
3.00707E+00	2.09766
3.00708E+00	2.09918
3.00709E+00	2.09523
3.00710E+00	2.08181
3.00711E+00	2.05904
3.00712E+00	2.02736
3.00714E+00	1.9649
3.00716E+00	1.88788
3.00719E+00	1.77061
3.00723E+00	1.55802
3.00725E+00	1.47505
3.00727E+00	1.40116
3.00729E+00	1.33779
3.00731E+00	1.28536
3.00732E+00	1.24345
3.00734E+00	1.21109
3.00736E+00	1.18694
3.00738E+00	1.1747
3.00738E+00	1.17415
3.00740E+00	1.1576
3.00743E+00	1.14786
3.00746E+00	1.1419
3.00748E+00	1.14126
3.00760E+00	1.14888
3.00780E+00	1.16415
3.00800E+00	1.17432
3.00840E+00	1.18656
3.00900E+00	1.19651
3.01000E+00	1.20531
3.01130E+00	1.21012
3.01484E+00	1.22315
3.01500E+00	1.22376
3.01808E+00	1.23155
3.02193E+00	1.24129
3.02542E+00	1.25013
3.02848E+00	1.25788
3.03242E+00	1.26783
3.03461E+00	1.27338
3.03845E+00	1.2831
3.04000E+00	1.28702
