E(MeV)	V-nat
5.81361E-03	8.74695E+01
5.86022E-03	8.95747E+01
5.88352E-03	9.06276E+01
5.90682E-03	9.18400E+01
5.95343E-03	9.42654E+01
6.00004E-03	9.71042E+01
6.02335E-03	9.85239E+01
6.04665E-03	1.00129E+02
6.09326E-03	1.03339E+02
6.13987E-03	1.07031E+02
6.16317E-03	1.08877E+02
6.18648E-03	1.10938E+02
6.23309E-03	1.15060E+02
6.27969E-03	1.19725E+02
6.30300E-03	1.22058E+02
6.32630E-03	1.24620E+02
6.37291E-03	1.29746E+02
6.41952E-03	1.35396E+02
6.44283E-03	1.38222E+02
6.46613E-03	1.41271E+02
6.51274E-03	1.47372E+02
6.55643E-03	1.53092E+02
6.59430E-03	1.58090E+02
6.61761E-03	1.61167E+02
