E(MeV)	Hf-179
1.82180E-05	15.0226
1.82372E-05	14.3987
1.82565E-05	13.831
1.82565E-05	13.831
1.82757E-05	13.3247
1.82949E-05	12.8613
1.83141E-05	12.4358
1.83205E-05	12.3052
1.83333E-05	12.0511
1.83588E-05	11.5925
1.83842E-05	11.1793
1.83846E-05	11.1733
1.84096E-05	10.8159
1.84350E-05	10.4876
1.84515E-05	10.2944
1.84604E-05	10.193
1.84813E-05	9.9763
1.85061E-05	9.74141
1.85185E-05	9.63533
1.85309E-05	9.53233
1.85557E-05	9.34766
1.85805E-05	9.18341
1.86053E-05	9.03918
1.86127E-05	9.00198
1.86301E-05	8.91853
1.86548E-05	8.82038
1.86805E-05	8.74285
1.87003E-05	8.70141
1.87069E-05	8.69159
1.87276E-05	8.67532
1.87499E-05	8.68614
1.87647E-05	8.71326
1.87796E-05	8.75993
1.87945E-05	8.83054
1.88057E-05	8.90278
1.88168E-05	8.99528
1.88259E-05	9.09075
1.88280E-05	9.11201
1.88391E-05	9.25717
1.88472E-05	9.38502
1.88552E-05	9.53598
1.88633E-05	9.71418
1.88713E-05	9.92449
1.88794E-05	10.1727
1.88875E-05	10.4654
1.88928E-05	10.6892
1.88982E-05	10.9387
1.89036E-05	11.2168
1.89089E-05	11.5265
1.89143E-05	11.871
1.89185E-05	12.1654
1.89197E-05	12.2536
1.89251E-05	12.6776
1.89300E-05	13.1093
1.89350E-05	13.5828
1.89399E-05	14.1013
1.89449E-05	14.6677
1.89499E-05	15.2851
1.89548E-05	15.9565
1.89598E-05	16.6847
1.89647E-05	17.4723
1.89697E-05	18.3215
1.89746E-05	19.2345
1.89746E-05	19.2345
1.89800E-05	20.3005
1.89862E-05	21.6272
1.89924E-05	23.0579
1.89986E-05	24.5914
1.90048E-05	26.2246
1.90077E-05	27.0309
1.90110E-05	27.955
1.90184E-05	30.1481
1.90242E-05	31.9542
1.90296E-05	33.6365
1.90478E-05	39.6107
1.90610E-05	43.9718
1.90688E-05	46.4141
1.90722E-05	47.4463
1.90804E-05	49.8159
1.90879E-05	51.7402
1.90928E-05	52.8632
1.90953E-05	53.4268
1.91021E-05	54.7271
1.91088E-05	55.7735
1.91153E-05	56.515
1.91207E-05	56.9394
1.91268E-05	57.1849
1.91295E-05	57.2182
1.91353E-05	57.127
1.91419E-05	56.7562
1.91498E-05	55.9469
1.91564E-05	54.984
1.91578E-05	54.7427
1.91631E-05	53.7723
1.91705E-05	52.1445
1.91779E-05	50.2735
1.91862E-05	47.9492
1.91945E-05	45.4331
1.91978E-05	44.3598
1.92106E-05	40.1859
1.92176E-05	37.8669
1.92292E-05	34.0343
1.92391E-05	30.8909
1.92424E-05	29.9013
1.92486E-05	28.0397
1.92568E-05	25.7209
1.92630E-05	24.0927
1.92692E-05	22.5645
1.92754E-05	21.1389
1.92812E-05	19.899
1.92870E-05	18.7481
1.92928E-05	17.6842
1.92986E-05	16.7046
1.93044E-05	15.8059
1.93101E-05	14.9841
1.93159E-05	14.2347
1.93217E-05	13.5531
1.93279E-05	12.8927
1.93341E-05	12.2987
1.93403E-05	11.7653
1.93465E-05	11.2868
1.93527E-05	10.8579
1.93548E-05	10.7297
1.93589E-05	10.4753
1.93651E-05	10.1334
1.93713E-05	9.82677
1.93775E-05	9.55151
1.93837E-05	9.30398
1.93878E-05	9.15274
1.93957E-05	8.89225
1.94035E-05	8.66251
1.94114E-05	8.45892
1.94192E-05	8.27758
1.94271E-05	8.11839
1.94349E-05	7.97538
1.94467E-05	7.7862
1.94585E-05	7.62193
1.94703E-05	7.47774
1.94820E-05	7.34991
1.94977E-05	7.20005
1.95134E-05	7.0691
1.95302E-05	6.9504
1.95469E-05	6.84555
1.95692E-05	6.72304
1.95915E-05	6.61631
1.96138E-05	6.52215
1.96361E-05	6.43817
1.96473E-05	6.40126
1.96696E-05	6.33076
1.97023E-05	6.24152
1.97332E-05	6.1668
1.97746E-05	6.07917
1.98159E-05	6.00244
1.98572E-05	5.93438
1.99192E-05	5.8509
1.99812E-05	5.77947
2.00225E-05	5.73723
2.00968E-05	5.67008
2.01712E-05	5.61246
2.02456E-05	5.56275
2.02704E-05	5.54842
2.03200E-05	5.52081
2.04253E-05	5.47232
2.05307E-05	5.4347
2.06360E-05	5.40729
2.07414E-05	5.38987
