E(MeV)	"AL-27(N,TOT)"
2.43061E-02	4.2832
2.43066E-02	4.2746
2.43066E-02	4.27285
2.43072E-02	4.2402
2.43073E-02	4.2344
2.43078E-02	4.17838
2.43079E-02	4.16847
2.43084E-02	4.09043
2.43085E-02	4.07663
2.43090E-02	3.97833
2.43091E-02	3.96097
2.43097E-02	3.82655
2.43099E-02	3.77935
2.43104E-02	3.65948
2.43106E-02	3.61947
2.43110E-02	3.47988
2.43115E-02	3.3592
2.43119E-02	3.22244
2.43127E-02	2.98701
2.43143E-02	2.48851
2.43145E-02	2.41877
2.43151E-02	2.24902
2.43155E-02	2.13595
2.43157E-02	2.06553
2.43162E-02	1.92475
2.43163E-02	1.90009
2.43168E-02	1.77693
2.43169E-02	1.75392
2.43173E-02	1.65048
2.43174E-02	1.63901
2.43178E-02	1.55381
2.43179E-02	1.51834
2.43182E-02	1.46265
2.43184E-02	1.41028
2.43186E-02	1.37721
2.43190E-02	1.31117
2.43190E-02	1.29747
2.43195E-02	1.2236
2.43195E-02	1.22087
2.43199E-02	1.15647
2.43200E-02	1.13914
2.43203E-02	1.09459
2.43205E-02	1.06563
2.43208E-02	1.03874
2.43211E-02	0.999918
2.43212E-02	0.989282
2.43216E-02	0.944142
2.43216E-02	0.941492
2.43220E-02	0.903924
2.43221E-02	0.889849
2.43224E-02	0.867124
2.43227E-02	0.844433
2.43228E-02	0.83359
2.43232E-02	0.804699
2.43232E-02	0.803123
2.43236E-02	0.776542
2.43238E-02	0.767175
2.43240E-02	0.752445
2.43243E-02	0.735062
2.43244E-02	0.730501
2.43248E-02	0.711126
2.43249E-02	0.70771
2.43252E-02	0.694167
2.43255E-02	0.684504
2.43256E-02	0.67877
2.43261E-02	0.664874
2.43265E-02	0.653148
2.43266E-02	0.648325
2.43269E-02	0.642673
2.43273E-02	0.633076
2.43274E-02	0.630256
2.43277E-02	0.624875
2.43282E-02	0.615916
2.43282E-02	0.614966
2.43288E-02	0.606898
2.43289E-02	0.604527
2.43293E-02	0.600219
2.43298E-02	0.594303
2.43301E-02	0.591616
2.43304E-02	0.589166
2.43308E-02	0.585087
2.43311E-02	0.583677
2.43318E-02	0.579251
2.43324E-02	0.575434
2.43328E-02	0.573626
2.43339E-02	0.569373
2.43347E-02	0.566156
2.43349E-02	0.565534
2.43363E-02	0.562124
2.43380E-02	0.5581
2.43384E-02	0.55746
2.43405E-02	0.554448
2.43431E-02	0.550803
2.43434E-02	0.550595
2.43476E-02	0.547169
2.43508E-02	0.544579
2.43518E-02	0.54412
2.43571E-02	0.541714
2.43610E-02	0.54
2.43661E-02	0.53878
2.43763E-02	0.536346
2.43768E-02	0.536292
2.43947E-02	0.534412
2.44131E-02	0.532483
2.44192E-02	0.532283
2.44294E-02	0.53195
2.45254E-02	0.52883
2.47767E-02	0.525936
2.51117E-02	0.525021
2.54467E-02	0.527118
2.54660E-02	0.527239
2.57818E-02	0.532189
2.61168E-02	0.541317
2.62005E-02	0.54466
2.63681E-02	0.551349
2.65356E-02	0.559884
2.66193E-02	0.564153
2.68706E-02	0.580835
2.70381E-02	0.594088
2.71889E-02	0.607936
2.72559E-02	0.614093
2.74569E-02	0.636387
2.76579E-02	0.662072
2.77249E-02	0.672176
2.78589E-02	0.692391
2.79929E-02	0.715112
2.81605E-02	0.746579
2.82275E-02	0.760854
2.83280E-02	0.782271
2.84955E-02	0.822618
2.86630E-02	0.867916
2.87300E-02	0.888369
2.88305E-02	0.919054
2.89645E-02	0.964943
2.89980E-02	0.976417
2.91655E-02	1.04116
2.91990E-02	1.05568
2.93331E-02	1.11379
2.94001E-02	1.14615
2.94671E-02	1.17852
2.96011E-02	1.24971
2.97351E-02	1.32804
2.98021E-02	1.37116
2.98691E-02	1.41429
3.00031E-02	1.5093
3.01371E-02	1.61406
3.02041E-02	1.67185
3.02711E-02	1.72964
3.04051E-02	1.85729
3.05392E-02	1.99839
3.06062E-02	2.07646
3.06732E-02	2.15453
3.07737E-02	2.28425
3.08072E-02	2.3275
3.09077E-02	2.46988
3.09412E-02	2.52092
3.10082E-02	2.62302
3.11087E-02	2.78966
3.12092E-02	2.96912
3.12762E-02	3.0995
3.13097E-02	3.1647
3.14102E-02	3.3756
3.15107E-02	3.60581
3.15442E-02	3.68867
3.16112E-02	3.8544
3.16782E-02	4.03556
3.17117E-02	4.12615
3.18123E-02	4.41997
3.19128E-02	4.74165
