TOF,usX	Sigma,barn
50.96	11.8423
51	12.5765
51.04	13.4117
51.08	14.4806
51.12	15.9156
51.16	17.5962
51.2	19.4494
51.24	21.528
51.28	24.0518
51.32	27.8205
51.36	33.9579
51.4	44.5572
51.44	63.2377
51.48	98.2666
51.52	188.463
51.56	405.981
51.6	755.813
51.64	939.282
51.68	690.114
51.72	336.955
51.76	140.863
51.8	63.8558
51.84	37.6578
51.88	32.457
51.92	38.5499
51.96	35.4719
52	20.3368
52.04	10.4179
52.08	7.2146
52.12	5.97393
52.16	5.36177
52.2	4.93973
52.24	4.61486
52.28	4.40966
52.32	4.27725
52.36	4.16875
52.4	4.08272
52.44	4.02617
52.48	3.98984
52.52	3.96686
52.56	3.95616
52.6	3.95423
52.64	3.95927
52.68	3.97161
52.72	3.98873
52.76	4.01384
52.8	4.04673
52.84	4.09422
52.88	4.1724
52.92	4.27103
52.96	4.40824
53	4.81087
53.04	6.25929
53.08	11.7166
53.12	23.0017
53.16	26.8977
53.2	16.4836
53.24	7.372
53.28	4.65554
53.32	4.13276
53.36	4.05596
53.4	4.06372
53.44	4.08494
53.48	4.10999
53.52	4.13619
53.56	4.16297
53.6	4.19011
53.64	4.21741
53.68	4.24499
53.72	4.27369
53.76	4.30473
53.8	4.33831
53.84	4.37416
53.88	4.41486
53.92	4.46177
53.96	4.51713
54	4.60166
54.04	4.7354
54.08	4.92212
54.12	5.34208
54.16	6.73579
54.2	11.8152
54.24	26.9086
54.28	44.4442
54.32	39.2602
54.36	19.116
54.4	7.85788
54.44	4.97021
54.48	4.34879
54.52	4.24433
54.56	4.24119
54.6	4.25457
54.64	4.27274
54.68	4.29122
54.72	4.30987
54.76	4.32792
54.8	4.34453
54.84	4.35976
54.88	4.3734
54.92	4.38606
54.96	4.39851
55	4.41099
55.04	4.42353
55.08	4.43609
55.12	4.44865
55.16	4.46128
55.2	4.47394
55.24	4.48625
55.28	4.49771
55.32	4.5083
55.36	4.51841
55.4	4.52841
55.44	4.53842
55.48	4.54844
55.52	4.55849
55.56	4.56858
55.6	4.57871
55.64	4.58889
55.68	4.59914
55.72	4.60949
55.76	4.62028
55.8	4.63198
55.84	4.64496
55.88	4.65962
55.92	4.67848
55.96	4.70331
