E(MeV)	"GA-71(N,TOT)"
2.94104E-04	951.18
2.94182E-04	934.952
2.94432E-04	886.828
2.94432E-04	886.827
2.94681E-04	843.084
2.94806E-04	821.263
2.94930E-04	801.43
2.95086E-04	776.709
2.95305E-04	744.889
2.95398E-04	731.296
2.95679E-04	693.895
2.95710E-04	689.752
2.96022E-04	651.677
2.96053E-04	648.169
2.96333E-04	616.704
2.96427E-04	607.023
2.96645E-04	584.499
2.96739E-04	575.572
2.96957E-04	554.795
2.97050E-04	546.696
2.97362E-04	519.765
2.97425E-04	514.391
2.97674E-04	494.977
2.97814E-04	484.087
2.98142E-04	460.855
2.98204E-04	456.445
2.98594E-04	431.184
2.98609E-04	430.256
2.98921E-04	411.75
2.98983E-04	408.058
2.99303E-04	390.644
2.99373E-04	386.831
2.99685E-04	371.187
2.99763E-04	367.285
3.00067E-04	353.439
3.00347E-04	340.687
3.00449E-04	336.501
3.00768E-04	323.332
3.00831E-04	320.967
3.01220E-04	306.224
3.01403E-04	299.854
3.01672E-04	290.532
3.01976E-04	280.815
3.02124E-04	276.094
3.02405E-04	267.974
3.02802E-04	256.503
3.03048E-04	250.167
3.03480E-04	239.04
3.03691E-04	234.173
3.04159E-04	223.391
3.04334E-04	219.752
3.04860E-04	208.868
3.04977E-04	206.687
3.05561E-04	195.816
3.05639E-04	194.505
3.06263E-04	184.043
3.06341E-04	182.856
3.06964E-04	173.384
3.07042E-04	172.305
3.07666E-04	163.7
3.07744E-04	162.717
3.08367E-04	154.875
3.08445E-04	153.964
3.08835E-04	149.42
3.09147E-04	146.079
3.09770E-04	139.414
3.09848E-04	138.668
3.10550E-04	131.963
3.10706E-04	130.476
3.11251E-04	125.792
