MeV	"I-127(N,TOT)"	
3.08245E-05	224.616	
3.08311E-05	236.397	
3.08315E-05	237.025	
3.08388E-05	251.196	
3.08395E-05	252.647	
3.08461E-05	266.632	
3.08479E-05	270.59	
3.08535E-05	283.442	
3.08563E-05	290.355	
3.08608E-05	301.733	
3.08625E-05	306.441	
3.08681E-05	321.672	
3.08688E-05	323.721	
3.08751E-05	342.357	
3.08755E-05	343.404	
3.08814E-05	362.542	
3.08828E-05	367.096	
3.08877E-05	384.195	
3.08898E-05	391.604	
3.08940E-05	407.467	
3.08968E-05	418.167	
3.09010E-05	435.333	
3.09038E-05	446.917	
3.09080E-05	465.487	
3.09108E-05	478.015	
3.09150E-05	498.079	
3.09177E-05	511.613	
3.09219E-05	533.261	
3.09247E-05	547.861	
3.09289E-05	571.184	
3.09317E-05	586.91	
3.09359E-05	611.994	
3.09387E-05	628.903	
3.09429E-05	655.944	
3.09467E-05	680.545	
3.09499E-05	702.931	
3.09546E-05	736.363	
3.09566E-05	751.033	
3.09626E-05	796.528	
3.09633E-05	802.15	
3.09706E-05	861.263	
3.09722E-05	875.721	
3.09785E-05	930.582	
3.09812E-05	955.079	
3.09868E-05	1007.18	
3.09885E-05	1023.67	
3.09952E-05	1090.27	
3.09968E-05	1107.92	
3.10052E-05	1197	
3.10063E-05	1209	
3.10164E-05	1323.65	
3.10175E-05	1336.53	
3.10259E-05	1437.62	
3.10276E-05	1458.66	
3.10371E-05	1579.04	
3.10416E-05	1638.29	
3.10538E-05	1802.7	
3.10583E-05	1864.74	
3.10986E-05	2426.79	
3.11030E-05	2486.68	
3.11153E-05	2650.05	
3.11198E-05	2705.03	
3.11321E-05	2853.96	
3.11366E-05	2902.95	
3.11433E-05	2975	
3.11478E-05	3017.92	
3.11545E-05	3080.9	
3.11589E-05	3117.19	
3.11651E-05	3165.68	
3.11690E-05	3191.31	
3.11751E-05	3230.2	
3.11779E-05	3243.86	
3.11858E-05	3280.23	
3.11880E-05	3287.06	
3.11969E-05	3311.84	
3.11992E-05	3314.51	
3.12067E-05	3321.1	
