E(MeV)	Gd-160
4.203550E-04	4.98255
4.203830E-04	4.98802
4.204110E-04	4.99418
4.204380E-04	5.00118
4.204660E-04	5.00916
4.204900E-04	5.01685
4.205090E-04	5.02391
4.205290E-04	5.03172
4.205480E-04	5.04037
4.205670E-04	5.04998
4.205870E-04	5.06067
4.206060E-04	5.07257
4.206260E-04	5.08585
4.206450E-04	5.10068
4.206640E-04	5.11725
4.206840E-04	5.13578
4.207030E-04	5.1565
4.207230E-04	5.17969
4.207370E-04	5.19887
4.207520E-04	5.21973
4.207660E-04	5.24241
4.207810E-04	5.26706
4.207980E-04	5.29786
4.208110E-04	5.32584
4.208250E-04	5.35609
4.208390E-04	5.38877
4.208530E-04	5.42406
4.208670E-04	5.46214
4.208790E-04	5.49908
4.208810E-04	5.50327
4.208950E-04	5.54832
4.209090E-04	5.59675
4.209220E-04	5.64878
4.209360E-04	5.70461
4.209500E-04	5.76449
4.209640E-04	5.82863
4.209780E-04	5.89728
4.209920E-04	5.97068
4.210060E-04	6.04907
4.210240E-04	6.15884
4.210400E-04	6.2685
4.210570E-04	6.38658
4.210740E-04	6.51352
4.210900E-04	6.64972
4.211070E-04	6.79557
4.211230E-04	6.95147
4.211400E-04	7.11777
4.211570E-04	7.29478
4.211790E-04	7.548
4.211990E-04	7.79312
4.212060E-04	7.88009
4.212170E-04	8.02607
4.212340E-04	8.273
4.212610E-04	8.66856
4.212880E-04	9.09423
4.213140E-04	9.54945
4.213460E-04	10.1373
4.213820E-04	10.8417
4.214190E-04	11.5881
4.214700E-04	12.6998
4.215890E-04	15.3863
4.216380E-04	16.4177
4.216690E-04	17.0264
4.217060E-04	17.6908
4.217400E-04	18.2163
4.217760E-04	18.679
4.218010E-04	18.93
4.218110E-04	19.0365
4.218380E-04	19.2288
4.218630E-04	19.3463
4.218650E-04	19.3545
4.218960E-04	19.4117
4.219000E-04	19.412
4.219270E-04	19.3743
4.219530E-04	19.2681
4.219800E-04	19.0947
4.220150E-04	18.7635
4.220510E-04	18.326
4.220780E-04	17.9181
4.220810E-04	17.8783
4.221120E-04	17.3506
4.221460E-04	16.7067
4.221930E-04	15.7458
4.222460E-04	14.572
4.223420E-04	12.4227
4.223810E-04	11.5557
4.224180E-04	10.8083
4.224540E-04	10.1029
4.224860E-04	9.5141
4.225120E-04	9.05806
4.225390E-04	8.63152
4.225660E-04	8.23503
4.225830E-04	7.98919
4.226010E-04	7.75666
4.226210E-04	7.51077
4.226430E-04	7.25666
4.226600E-04	7.07894
4.226770E-04	6.91191
4.226930E-04	6.75525
4.227100E-04	6.6086
4.227260E-04	6.47158
4.227430E-04	6.3438
4.227600E-04	6.22484
4.227760E-04	6.11428
4.227940E-04	6.00351
4.228080E-04	5.92433
4.228220E-04	5.85013
4.228360E-04	5.78067
4.228500E-04	5.7157
4.228640E-04	5.65499
4.228780E-04	5.59832
4.228920E-04	5.54545
4.228980E-04	5.52081
4.229050E-04	5.49661
4.229190E-04	5.45159
4.229330E-04	5.40974
4.229470E-04	5.37086
4.229610E-04	5.33477
4.229750E-04	5.30128
4.229890E-04	5.27023
4.230020E-04	5.24144
4.230200E-04	5.20715
