E(MeV)	Mo-nat
5.369960E-05	7.24953
5.372090E-05	7.24184
5.400780E-05	7.14206
5.429470E-05	7.04608
5.451580E-05	6.9753
5.453700E-05	6.96955
5.468580E-05	6.93183
5.478790E-05	6.9085
5.484740E-05	6.89685
5.491110E-05	6.88721
5.495360E-05	6.8832
5.499400E-05	6.88177
5.503230E-05	6.883
5.507270E-05	6.88733
5.511520E-05	6.8953
5.513640E-05	6.90047
5.526400E-05	6.93778
5.529580E-05	6.94465
5.532600E-05	6.94841
5.535660E-05	6.94871
5.538470E-05	6.94538
5.541020E-05	6.93917
5.543570E-05	6.92991
5.546120E-05	6.91773
5.549690E-05	6.89637
5.553430E-05	6.86974
5.559550E-05	6.82102
5.565930E-05	6.7725
5.570180E-05	6.74286
5.574430E-05	6.71648
5.576560E-05	6.7046
5.580810E-05	6.68338
5.584640E-05	6.66689
5.588460E-05	6.65247
5.594200E-05	6.63381
5.600150E-05	6.6171
5.608230E-05	6.59699
5.620340E-05	6.56968
5.638200E-05	6.5322
5.667530E-05	6.47375
5.699410E-05	6.42239
5.731300E-05	6.3727
5.766370E-05	6.31957
5.807810E-05	6.25854
5.849260E-05	6.21032
5.897080E-05	6.15644
5.948100E-05	6.10078
5.999110E-05	6.0468
6.037370E-05	6.01529
6.075630E-05	5.98455
6.113890E-05	5.95456
6.170750E-05	5.91125
6.226570E-05	5.87016
6.282390E-05	5.83827
6.334000E-05	5.81004
6.367000E-05	5.79264
6.400000E-05	5.77587
6.433000E-05	5.75975
6.466000E-05	5.74435
6.499000E-05	5.72978
6.532000E-05	5.71619
6.556750E-05	5.70676
6.582880E-05	5.69764
6.609690E-05	5.68934
6.636500E-05	5.68236
6.654370E-05	5.67857
6.672250E-05	5.67559
6.690130E-05	5.67359
6.708000E-05	5.67275
6.721750E-05	5.67305
6.735500E-05	5.67429
6.749250E-05	5.67663
6.763000E-05	5.68025
6.776750E-05	5.68538
6.790500E-05	5.69229
6.800810E-05	5.69886
6.811130E-05	5.70681
6.818000E-05	5.7132
6.822130E-05	5.71606
6.830380E-05	5.72315
6.838630E-05	5.7316
6.846870E-05	5.74159
6.855120E-05	5.75337
6.863380E-05	5.76719
6.871620E-05	5.78339
6.879870E-05	5.80234
6.887090E-05	5.82155
6.893280E-05	5.84026
6.899470E-05	5.86135
6.905660E-05	5.88514
6.911840E-05	5.91202
6.918030E-05	5.94248
6.924220E-05	5.97708
6.928860E-05	6.00615
6.933500E-05	6.03827
6.938040E-05	6.07301
6.942580E-05	6.1115
6.947110E-05	6.15424
6.951650E-05	6.20185
6.956190E-05	6.25505
6.958800E-05	6.2894
6.960720E-05	6.31499
6.965260E-05	6.38282
6.968670E-05	6.43938
6.971450E-05	6.48979
6.974750E-05	6.55495
6.978050E-05	6.62675
6.981350E-05	6.70614
6.984650E-05	6.79425
6.987950E-05	6.89244
6.991250E-05	7.00239
6.993720E-05	7.09379
6.995100E-05	7.14944
6.996200E-05	7.19569
6.998670E-05	7.30978
7.001150E-05	7.43536
7.003630E-05	7.57419
7.006100E-05	7.72839
7.008570E-05	7.90052
7.010430E-05	8.04321
7.012150E-05	8.18771
7.012290E-05	8.19966
7.014140E-05	8.37618
7.016000E-05	8.56991
7.017930E-05	8.79156
7.019570E-05	9.00226
7.019850E-05	9.03852
7.021770E-05	9.32002
7.023220E-05	9.55177
7.024660E-05	9.80333
7.026110E-05	10.0768
7.027000E-05	10.2612
7.027550E-05	10.3782
7.028990E-05	10.7123
7.030440E-05	11.0761
7.031400E-05	11.3365
7.032780E-05	11.7372
7.032910E-05	11.7783
7.034430E-05	12.2724
7.035940E-05	12.8125
7.036630E-05	13.081
7.037450E-05	13.41
7.038960E-05	14.068
7.040470E-05	14.7857
7.041990E-05	15.5824
7.043500E-05	16.4481
7.043780E-05	16.6176
7.044740E-05	17.2205
7.045970E-05	18.0474
7.046520E-05	18.4389
7.047210E-05	18.9354
7.048450E-05	19.8853
7.049280E-05	20.5572
7.049690E-05	20.8979
7.051540E-05	22.5434
7.052020E-05	23.0058
7.053400E-05	24.3441
7.054780E-05	25.78
7.055050E-05	26.0708
7.056700E-05	27.9253
7.057520E-05	28.9062
7.058350E-05	29.8981
7.060270E-05	32.3512
7.060550E-05	32.7052
7.063030E-05	36.0868
7.065500E-05	39.6717
7.066330E-05	40.916
7.070180E-05	46.7683
7.074300E-05	53.0636
7.076780E-05	56.67
7.078920E-05	59.5904
7.079250E-05	60.035
7.081500E-05	62.7909
7.082880E-05	64.2666
7.083760E-05	65.1931
7.085740E-05	66.955
7.086180E-05	67.2716
7.087720E-05	68.3412
7.089370E-05	69.2104
7.089480E-05	69.2507
7.091020E-05	69.7734
7.092280E-05	69.9781
7.092930E-05	70.0677
7.094200E-05	70.0402
7.094320E-05	70.0172
7.096300E-05	69.5929
7.097070E-05	69.2793
7.097620E-05	69.0459
7.098170E-05	68.8048
7.099820E-05	67.7644
7.100480E-05	67.334
7.102020E-05	66.0301
7.102790E-05	65.3619
7.104440E-05	63.6487
7.105100E-05	62.9498
7.107080E-05	60.5625
7.107580E-05	59.9546
7.110050E-05	56.6249
7.111150E-05	55.0383
7.114170E-05	50.6156
7.115820E-05	48.1527
7.120020E-05	41.8558
7.122700E-05	37.9897
7.124350E-05	35.7122
7.124620E-05	35.3348
7.126550E-05	32.813
7.128480E-05	30.4248
7.130400E-05	28.202
7.132260E-05	26.1986
7.132600E-05	25.8534
7.134110E-05	24.3551
7.135970E-05	22.6539
7.136720E-05	22.0065
7.137210E-05	21.6013
7.138440E-05	20.6177
7.139680E-05	19.6904
7.140850E-05	18.8685
7.141060E-05	18.7258
7.142570E-05	17.753
7.143600E-05	17.1395
7.144080E-05	16.8579
7.145590E-05	16.0413
7.147110E-05	15.2882
