E(MeV)	pendfb7/Cs133:1
5.83927E-06	7211.85579
5.83959E-06	7218.6973
5.84413E-06	7313.34307
5.84445E-06	7318.41464
5.84899E-06	7388.20093
5.84931E-06	7391.39745
5.85401E-06	7436.41924
5.85417E-06	7437.01024
5.85864E-06	7452.06481
5.85935E-06	7454.20538
5.86295E-06	7446.44585
5.86599E-06	7426.44904
5.86703E-06	7419.27445
5.87012E-06	7381.53028
5.87231E-06	7354.30392
5.87425E-06	7319.36252
5.87717E-06	7266.17585
5.87911E-06	7220.95235
5.88203E-06	7152.31533
5.88397E-06	7097.01276
5.88737E-06	6999.28485
5.88964E-06	6920.35712
5.89450E-06	6749.98192
5.89628E-06	6687.13324
5.89935E-06	6561.61745
5.90276E-06	6422.25341
5.90421E-06	6357.2325
5.90923E-06	6132.38769
5.91012E-06	6090.08581
5.91571E-06	5823.80795
5.91709E-06	5754.85691
5.92753E-06	5230.09311
5.94000E-06	4602.813
5.94664E-06	4276.08506
5.94713E-06	4252.22015
5.95474E-06	3892.416
5.96082E-06	3619.06396
5.96689E-06	3359.63069
5.97296E-06	3115.1781
5.97701E-06	2960.9274
5.97904E-06	2887.14395
5.98106E-06	2813.60632
5.98511E-06	2673.21652
5.98916E-06	2539.95205
5.99118E-06	2476.58165
5.99321E-06	2413.4558
5.99726E-06	2293.57991
6.00130E-06	2180.3727
6.00333E-06	2126.76082
6.00535E-06	2073.37711
6.00940E-06	1972.36262
6.00940E-06	1972.36239
6.01345E-06	1877.28728
6.01547E-06	1832.37549
6.01750E-06	1787.66627
6.02155E-06	1703.2389
6.02560E-06	1623.91651
6.02762E-06	1586.48887
6.02965E-06	1549.23538
6.03369E-06	1478.93846
6.03774E-06	1412.92179
6.03977E-06	1381.77222
6.04179E-06	1350.76924
6.04584E-06	1292.24798
6.05070E-06	1226.63062
6.05191E-06	1211.24557
6.05495E-06	1172.9656
6.05799E-06	1136.89231
6.05920E-06	1122.52936
6.06406E-06	1068.87982
6.06487E-06	1059.97741
6.06983E-06	1009.50989
6.07054E-06	1002.33074
