E(MeV)	pendfb7/Gd157:1
4.306874E-07	1129.98884
4.332441E-07	1112.82664
4.350727E-07	1100.91832
4.361715E-07	1093.76211
4.369167E-07	1088.9122
4.406205E-07	1065.52639
4.417333E-07	1058.70904
4.443556E-07	1042.65583
4.473581E-07	1024.82269
4.481224E-07	1020.28609
4.519211E-07	998.410368
4.530625E-07	992.033035
4.557521E-07	977.016137
4.588316E-07	960.333702
4.596155E-07	956.08988
4.635116E-07	935.625317
4.646823E-07	929.659193
4.674408E-07	915.610738
4.694137E-07	905.862062
4.705993E-07	900.003673
4.714033E-07	896.033456
4.753994E-07	876.887692
4.766001E-07	871.305866
4.774059E-07	867.562644
4.794294E-07	858.162478
4.824732E-07	844.442458
4.826689E-07	843.560435
4.834935E-07	839.845925
4.855341E-07	830.927122
4.875921E-07	821.932709
4.886210E-07	817.568982
4.888236E-07	816.710056
4.917254E-07	804.412562
4.938008E-07	795.878394
4.950480E-07	790.749848
4.958937E-07	787.274334
4.979867E-07	778.929098
5.000974E-07	770.513125
5.013605E-07	765.626184
5.022082E-07	762.349044
5.043368E-07	754.119322
5.064654E-07	746.133571
5.077445E-07	741.334598
5.086120E-07	738.082468
5.107587E-07	730.273359
5.129235E-07	722.398056
5.142190E-07	717.824919
5.161800E-07	710.907671
5.172716E-07	707.057088
5.194548E-07	699.583982
5.207668E-07	695.093077
5.216565E-07	692.049755
5.238582E-07	684.741808
5.260786E-07	677.371912
5.274073E-07	673.092126
5.305381E-07	663.015142
5.341230E-07	651.818373
5.350355E-07	648.970255
5.395710E-07	635.233477
5.409338E-07	631.227988
5.441450E-07	621.796985
5.464416E-07	615.251352
5.478217E-07	611.317805
5.487577E-07	608.652255
5.534095E-07	595.795954
5.548072E-07	592.047212
5.581007E-07	583.220859
5.618718E-07	573.413583
5.628318E-07	570.918981
5.676029E-07	558.887089
5.690365E-07	555.378603
