E(MeV)	Nb-nat			
1.05549E-04	13.0424			
1.05579E-04	13.7781			
1.05612E-04	14.5539			
1.05638E-04	15.0942			
1.05649E-04	15.3234			
1.05663E-04	15.5898			
1.05688E-04	16.0289			
1.05713E-04	16.3973			
1.05737E-04	16.6778			
1.05760E-04	16.8664			
1.05785E-04	16.9897			
1.05799E-04	17.0184			
1.05817E-04	17.0115			
1.05834E-04	16.9627			
1.05857E-04	16.8262			
1.05882E-04	16.5957			
1.05907E-04	16.2846			
1.05917E-04	16.1314			
1.05932E-04	15.8967			
1.05957E-04	15.4439			
1.05983E-04	14.9405			
1.06008E-04	14.3984			
1.06018E-04	14.1681			
1.06058E-04	13.2316			
1.06117E-04	11.8525			
1.06118E-04	11.815			
1.06135E-04	11.4364			
1.06150E-04	11.0933			
1.06175E-04	10.5525			
1.06199E-04	10.077			
1.06222E-04	9.63272			
1.06240E-04	9.32113			
1.06256E-04	9.04254			
1.06257E-04	9.02852			
1.06276E-04	8.73098			
1.06291E-04	8.51737			
1.06306E-04	8.31684			
1.06320E-04	8.1291			
1.06335E-04	7.95378			
1.06350E-04	7.79049			
1.06364E-04	7.63874			
1.06379E-04	7.49802			
1.06396E-04	7.35			
1.06410E-04	7.23513			
1.06424E-04	7.12888			
1.06438E-04	7.03074			
1.06452E-04	6.94017			
1.06466E-04	6.85669			
1.06480E-04	6.77977			
1.06495E-04	6.70894			
1.06509E-04	6.64374			
1.06523E-04	6.58373			
1.06537E-04	6.52849			
1.06550E-04	6.48306			
1.06562E-04	6.44082			
1.06571E-04	6.41508			
1.06581E-04	6.38419			
1.06600E-04	6.33443			
1.06619E-04	6.28984			
1.06637E-04	6.2498			
1.06656E-04	6.21374			
1.06675E-04	6.18118			
1.06694E-04	6.15168			
