MeV	"TL-205(N,TOT)"
2.78165E-03	10.577
2.78182E-03	10.7721
2.78215E-03	11.1821
2.78248E-03	11.6472
2.78264E-03	11.8896
2.78281E-03	12.1502
2.78297E-03	12.4219
2.78314E-03	12.7104
2.78330E-03	13.0112
2.78347E-03	13.3312
2.78363E-03	13.6649
2.78380E-03	14.0205
2.78396E-03	14.3914
2.78413E-03	14.7874
2.78429E-03	15.2005
2.78446E-03	15.6423
2.78462E-03	16.1034
2.78479E-03	16.5974
2.78495E-03	17.1132
2.78512E-03	17.6669
2.78528E-03	18.2451
2.78545E-03	18.8612
2.78553E-03	19.1831
2.78578E-03	20.2036
2.78603E-03	21.3326
2.78611E-03	21.7317
2.78627E-03	22.5609
2.78636E-03	23.0009
2.78652E-03	23.9105
2.78660E-03	24.3939
2.78677E-03	25.393
2.78685E-03	25.9245
2.78702E-03	27.0233
2.78710E-03	27.6085
2.78726E-03	28.8183
2.78735E-03	29.4632
2.78751E-03	30.7965
2.78759E-03	31.5079
2.78776E-03	32.9785
2.78784E-03	33.764
2.78801E-03	35.3871
2.78809E-03	36.2546
2.78825E-03	38.0467
2.78834E-03	39.0052
2.78850E-03	40.9839
2.78858E-03	42.0426
2.78875E-03	44.2267
2.78883E-03	45.3952
2.78900E-03	47.8038
2.78908E-03	49.0919
2.78924E-03	51.7441
2.78933E-03	53.1596
2.78948E-03	55.9246
2.78957E-03	57.6254
2.78971E-03	60.1645
2.78982E-03	62.5159
2.78993E-03	64.7522
2.79007E-03	67.8401
2.79015E-03	69.7021
2.79037E-03	74.9938
2.79040E-03	75.6109
2.79060E-03	80.6586
2.79073E-03	84.1735
2.79082E-03	86.6362
2.79112E-03	95.0521
2.79139E-03	103.097
2.79149E-03	106.014
2.79182E-03	115.946
2.79211E-03	124.684
2.79214E-03	125.387
2.79241E-03	132.866
2.79244E-03	133.735
2.79266E-03	139.031
2.79269E-03	139.802
2.79291E-03	144.375
2.79294E-03	145.033
2.79311E-03	147.979
2.79319E-03	149.35
2.79331E-03	150.916
2.79338E-03	151.688
2.79350E-03	152.834
2.79361E-03	153.732
2.79365E-03	153.918
2.79385E-03	154.614
2.79386E-03	154.615
2.79404E-03	154.382
2.79410E-03	154.232
2.79429E-03	153.112
2.79432E-03	152.872
2.79454E-03	150.694
2.79455E-03	150.6
2.79480E-03	146.989
2.79499E-03	143.803
2.79508E-03	142.149
2.79535E-03	136.598
2.79568E-03	129.157
2.79617E-03	117.331
2.79650E-03	109.579
2.79683E-03	102
2.79708E-03	96.6802
2.79733E-03	91.4812
2.79758E-03	86.6759
2.79766E-03	85.1143
2.79782E-03	82.1503
2.79799E-03	79.2637
2.79807E-03	77.9006
2.79832E-03	73.9215
2.79857E-03	70.2786
2.79865E-03	69.0961
2.79881E-03	66.8779
2.79898E-03	64.7185
2.79906E-03	63.7067
2.79931E-03	60.7522
2.79956E-03	58.0579
2.79964E-03	57.1822
2.79980E-03	55.5436
2.79997E-03	53.9459
2.80005E-03	53.1978
2.80030E-03	51.0093
2.80055E-03	49.0084
2.80063E-03	48.3567
2.80079E-03	47.1353
2.80096E-03	45.946
2.80112E-03	44.8469
2.80145E-03	42.714
2.80178E-03	40.8259
2.80195E-03	39.9072
2.80211E-03	39.0681
2.80244E-03	37.4349
2.80277E-03	35.9771
2.80294E-03	35.266
2.80310E-03	34.6128
2.80343E-03	33.3381
2.80376E-03	32.1912
2.80393E-03	31.6304
2.80409E-03	31.1189
2.80442E-03	30.1186
2.80459E-03	29.6286
2.80475E-03	29.1861
2.80508E-03	28.3194
2.80525E-03	27.8943
2.80541E-03	27.5088
2.80591E-03	26.3797
2.80634E-03	25.5103
2.80655E-03	25.0853
2.80677E-03	24.6959
2.80720E-03	23.9343
2.80762E-03	23.2541
2.80796E-03	22.7293
2.80813E-03	22.4943
2.80864E-03	21.8058
2.80898E-03	21.3567
2.80915E-03	21.1574
2.80965E-03	20.5728
2.80999E-03	20.1907
2.81016E-03	20.0212
2.81060E-03	19.591
2.81111E-03	19.0928
2.81113E-03	19.0751
2.81167E-03	18.6243
2.81221E-03	18.1816
2.81229E-03	18.1146
2.81274E-03	17.7869
2.81328E-03	17.4061
2.81347E-03	17.2764
2.81382E-03	17.057
2.81462E-03	16.5637
2.81464E-03	16.5513
2.81528E-03	16.2053
2.81582E-03	15.9202
2.81594E-03	15.8614
2.81660E-03	15.5533
2.81726E-03	15.2502
2.81734E-03	15.2129
2.81792E-03	14.9812
2.81858E-03	14.7204
2.81883E-03	14.6243
2.81957E-03	14.3728
2.82027E-03	14.1396
2.82101E-03	13.896
2.82106E-03	13.8826
2.82176E-03	13.6881
2.82287E-03	13.3843
2.82328E-03	13.2739
2.82398E-03	13.111
2.82510E-03	12.857
2.82551E-03	12.7644
2.82621E-03	12.6292
2.82732E-03	12.4181
2.82844E-03	12.2102
2.82848E-03	12.2026
2.82955E-03	12.0346
2.83067E-03	11.8625
2.83145E-03	11.7429
2.83178E-03	11.6993
